timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058807072,418,HTTP Request,200,,Spike 2-89,text,true,,2827,139,53,110,http://10.0.10.10:9966/petclinic/api/owners,414,0,1
1538058807454,527,HTTP Request,200,,Spike 2-51,text,true,,2827,139,100,210,http://10.0.10.10:9966/petclinic/api/owners,525,0,12
1538058807142,979,HTTP Request,200,,Spike 2-82,text,true,,2827,139,100,206,http://10.0.10.10:9966/petclinic/api/owners,979,0,48
1538058807186,1010,HTTP Request,200,,Spike 2-78,text,true,,2827,139,100,204,http://10.0.10.10:9966/petclinic/api/owners,1010,0,5
1538058807084,1336,HTTP Request,200,,Spike 2-98,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1334,0,1
1538058807074,1359,HTTP Request,200,,Spike 2-93,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1340,0,1
1538058807075,1360,HTTP Request,200,,Spike 2-94,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1359,0,1
1538058807069,1446,HTTP Request,200,,Spike 2-90,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1444,0,2
1538058807601,935,HTTP Request,200,,Spike 2-36,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,935,0,103
1538058807091,1795,HTTP Request,200,,Spike 2-87,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1795,0,1
1538058807087,1841,HTTP Request,200,,Spike 2-100,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1838,0,1
1538058807069,1864,HTTP Request,200,,Spike 2-91,text,true,,2827,139,100,202,http://10.0.10.10:9966/petclinic/api/owners,1862,0,1
1538058807291,2469,HTTP Request,200,,Spike 2-67,text,true,,2827,139,100,201,http://10.0.10.10:9966/petclinic/api/owners,2468,0,2
1538058807813,2030,HTTP Request,200,,Spike 2-15,text,true,,2827,139,99,199,http://10.0.10.10:9966/petclinic/api/owners,1251,0,5
1538058807744,2123,HTTP Request,200,,Spike 2-22,text,true,,2827,139,98,196,http://10.0.10.10:9966/petclinic/api/owners,1523,0,1
1538058807139,2743,HTTP Request,200,,Spike 2-83,text,true,,2827,139,97,190,http://10.0.10.10:9966/petclinic/api/owners,2335,0,19
1538058807581,2701,HTTP Request,200,,Spike 2-38,text,true,,2827,139,96,189,http://10.0.10.10:9966/petclinic/api/owners,2700,0,123
1538058807085,3262,HTTP Request,200,,Spike 2-99,text,true,,2827,139,95,188,http://10.0.10.10:9966/petclinic/api/owners,2661,0,1
1538058807481,2869,HTTP Request,200,,Spike 2-48,text,true,,2827,139,94,186,http://10.0.10.10:9966/petclinic/api/owners,2321,0,2
1538058807855,2570,HTTP Request,200,,Spike 2-11,text,true,,2827,139,93,184,http://10.0.10.10:9966/petclinic/api/owners,2567,0,2
1538058807384,3046,HTTP Request,200,,Spike 2-58,text,true,,2827,139,92,183,http://10.0.10.10:9966/petclinic/api/owners,2943,0,27
1538058807760,2822,HTTP Request,200,,Spike 2-21,text,true,,2827,139,91,182,http://10.0.10.10:9966/petclinic/api/owners,2819,0,5
1538058807669,3078,HTTP Request,200,,Spike 2-30,text,true,,2827,139,90,177,http://10.0.10.10:9966/petclinic/api/owners,3078,0,38
1538058807351,3579,HTTP Request,200,,Spike 2-61,text,true,,2827,139,89,176,http://10.0.10.10:9966/petclinic/api/owners,3577,0,59
1538058807522,3507,HTTP Request,200,,Spike 2-44,text,true,,2827,139,88,175,http://10.0.10.10:9966/petclinic/api/owners,3506,0,38
1538058807077,4156,HTTP Request,200,,Spike 2-95,text,true,,2827,139,87,171,http://10.0.10.10:9966/petclinic/api/owners,4155,0,1
1538058807441,3954,HTTP Request,200,,Spike 2-52,text,true,,2827,139,86,167,http://10.0.10.10:9966/petclinic/api/owners,3952,0,3
1538058807662,3811,HTTP Request,200,,Spike 2-32,text,true,,2827,139,85,165,http://10.0.10.10:9966/petclinic/api/owners,3809,0,44
1538058807101,4423,HTTP Request,200,,Spike 2-86,text,true,,2827,139,84,163,http://10.0.10.10:9966/petclinic/api/owners,4336,0,2
1538058807192,4371,HTTP Request,200,,Spike 2-77,text,true,,2827,139,83,161,http://10.0.10.10:9966/petclinic/api/owners,4370,0,5
1538058807132,4474,HTTP Request,200,,Spike 2-85,text,true,,2827,139,82,160,http://10.0.10.10:9966/petclinic/api/owners,4445,0,26
1538058807310,4413,HTTP Request,200,,Spike 2-65,text,true,,2827,139,81,157,http://10.0.10.10:9966/petclinic/api/owners,4412,0,2
